出表日期,發言日期,發言時間,公司代號,公司名稱,主旨,符合條款,事實發生日,說明
"1120901","1120831","70003","3191","雲嘉南科技","公告本公司名稱由「和進電子股份有限公司」
更名為「雲嘉南科技股份有限公司」","第53款","1120717","1.事實發生日：民國112年07月17日
2.公司名稱：雲嘉南科技股份有限公司(原名：和進電子股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月17日
(2)公司名稱變更核准文號：經授商字第11230123540號
(3)更名案股東會決議通過日期：民國112年06月19日
(4)變更前公司名稱：和進電子股份有限公司
(5)變更後公司名稱：雲嘉南科技股份有限公司
(6)變更前公司簡稱：和進電子
(7)變更後公司簡稱：雲嘉南科技
6.因應措施：不適用
7.其他應敘明事項：(1)上櫃股票代號未變動，仍為「3191」。
(2)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(3)依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則」
第九條之一規定，連續公告三個月。"
"1120901","1120831","70003","3313","斐成","本公司名稱由「斐成企業股份有限公司」
更名為 「斐成開發科技股份有限公司」","第53款","1120626","1.事實發生日：民國112年06月26日
2.公司名稱：斐成開發科技股份有限公司(原名：斐成企業股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年06月26日
(2)公司名稱變更核准文號：經授商字第11230098510號
(3)更名案股東會決議通過日期：民國112年05月26日
(4)變更前公司名稱：斐成企業股份有限公司
(5)變更後公司名稱：斐成開發科技股份有限公司
(6)變更前公司簡稱：斐成
(7)變更後公司簡稱：斐成
6.因應措施：不適用
7.其他應敘明事項：(1)本公司於112/06/26取得經濟部變更登記核准函
   (發文日期為112/06/21)
(2)本公司股票代號未變動，仍為3313"
"1120901","1120831","70003","3466","德晉","公告本公司名稱由「致振企業股份有限公司」，
更名為「德晉科技股份有限公司」，
公告期間:112年7月12日至112年10月11日。","第53款","1120711","1.事實發生日：民國112年07月11日
2.公司名稱：德晉科技股份有限公司(原名：致振企業股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月11日
(2)公司名稱變更核准文號：經授商字第11230120010號
(3)更名案股東會決議通過日期：民國112年06月12日
(4)變更前公司名稱：致振企業股份有限公司
(5)變更後公司名稱：德晉科技股份有限公司
(6)變更前公司簡稱：致振
(7)變更後公司簡稱：德晉
6.因應措施：無
7.其他應敘明事項：(1)本公司於112年7月13日接獲經濟部112年7月11日之核准函。
(2)本公司股票代號未變動仍為「3466」。
(3)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(4)依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則」第九條
   之一規定，連續公告三個月。"
"1120901","1120831","70003","3555","博士旺","公告本公司名稱由「重鵬生技股份有限公司」更名為
「博士旺創新股份有限公司」，公告期間：112年6月5日至
112年9月4日。","第53款","1120602","1.事實發生日：民國112年06月02日
2.公司名稱：博士旺創新股份有限公司(原名：重鵬生技股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年06月02日
(2)公司名稱變更核准文號：新北府經司字1128038386號
(3)更名案股東會決議通過日期：民國112年05月31日
(4)變更前公司名稱：重鵬生技股份有限公司
(5)變更後公司名稱：博士旺創新股份有限公司
(6)變更前公司簡稱：重鵬
(7)變更後公司簡稱：博士旺
6.因應措施：不適用
7.其他應敘明事項：(1)股票簡稱原名為「重鵬」變更為「博士旺」，股票代號仍為「3555」。
(2)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(3)依據財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則第九條
   之一規定，連續公告三個月。
(4)本公司於112年06月05日接獲新北市政府112年06月02日之核准函。"
"1120901","1120831","70003","4131","浩泰","公告本公司名稱由「晶宇生物科技實業股份有限公司」更名
為「浩泰精準股份有限公司」，公告期間：112年07月10日至112
年10月09日。","第53款","1120705","1.事實發生日：民國112年07月05日
2.公司名稱：浩泰精準股份有限公司(原名：晶宇生物科技實業股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月05日
(2)公司名稱變更核准文號：府經商字第11200224930號
(3)更名案股東會決議通過日期：民國112年06月28日
(4)變更前公司名稱：晶宇生物科技實業股份有限公司
(5)變更後公司名稱：浩泰精準股份有限公司
(6)變更前公司簡稱：晶宇
(7)變更後公司簡稱：浩泰
6.因應措施：無
7.其他應敘明事項：(1)本公司英文名稱由「DR.Chip Biotechnology Incorporation」更名為
「NeoCore Technology Co., Ltd.」。
(2)本公司股票代號未變動，仍為「4131」。
(3)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(4)本公司於112/07/10取得臺南市政府經濟發展局核准變更登記函(發文日期為112年
07月05日)，依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券
業務規則」第九條之一規定，連續公告三個月。"
"1120901","1120831","70003","4160","訊聯基因","公告本公司名稱由「創源生物科技股份有限
公司」更名為「訊聯基因數位股份有限公司」
，公告期間：112年7月7日至112年10月6日","第53款","1120706","1.事實發生日：民國112年07月06日
2.公司名稱：訊聯基因數位股份有限公司(原名：創源生物科技股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月06日
(2)公司名稱變更核准文號：府產業商字第11250255910號
(3)更名案股東會決議通過日期：民國112年06月16日
(4)變更前公司名稱：創源生物科技股份有限公司
(5)變更後公司名稱：訊聯基因數位股份有限公司
(6)變更前公司簡稱：創源
(7)變更後公司簡稱：訊聯基因
6.因應措施：無
7.其他應敘明事項：(1)本公司股票代號未變動，仍為「4160」。
(2)本公司英文名稱未變動，仍為「GENETICS GENERATION ADVANCEMENT
 CORP. (GGA CORP.)」。
(3)本公司英文簡稱未變動，仍為「GGA CORP.」。
(4)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(5)本公司於112年07月07日接獲簡訊通知變更登記案件審核結果為「核准」。
   依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券
   業務規則」第九條之一規定，連續公告三個月。"
"1120901","1120831","70003","4712","福格創新","公告本公司名稱由「南璋股份有限公司」更名為「福格創新股份
有限公司」，公告期間：112年08月11日至112年11月10日。","第53款","1120810","1.事實發生日：民國112年08月10日
2.公司名稱：福格創新股份有限公司(原名：南璋股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年08月10日
(2)公司名稱變更核准文號：經授商字第11230140970號
(3)更名案股東會決議通過日期：民國112年06月30日
(4)變更前公司名稱：南璋股份有限公司
(5)變更後公司名稱：福格創新股份有限公司
(6)變更前公司簡稱：南璋
(7)變更後公司簡稱：福格創新
6.因應措施：無
7.其他應敘明事項：(1)本公司原名稱由「 南璋股份有限公司」，變更為「福格創新股份有限公司」。
(2)股票簡稱原名為「南璋」變更為「福格創新」，股票代號仍為「4712」。
(3)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(4)依據財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則第九條之一規定，連續公告三個月。
(5)本公司於民國112年8月11日收到經濟部變更登記核淮函。"
"1120901","1120831","70003","5348","正能量智能","公告本公司名稱由「系通科技股份有限公司」更名為
「正能量智能股份有限公司」，公告期間：112年07月13日至112年
10月12日。","第53款","1120712","1.事實發生日：民國112年07月12日
2.公司名稱：正能量智能股份有限公司(原名：系通科技股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月12日
(2)公司名稱變更核准文號：竹商字第1120022451號
(3)更名案股東會決議通過日期：民國112年06月28日
(4)變更前公司名稱：系通科技股份有限公司
(5)變更後公司名稱：正能量智能股份有限公司
(6)變更前公司簡稱：系通
(7)變更後公司簡稱：正能量智能
6.因應措施：無
7.其他應敘明事項：(1)本公司英文名稱由「TranSystem Incorporated(TranSystem Inc.)」
更名為「Empower Technology Corporation.」。
(2)本公司股票代號未變動，仍為「5348」。
(3)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(4)本公司於112年07月13日取得新竹科學園區管理局核准變更登記函(發文日期為112年
07月12日)，依據「財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券
業務規則」第九條之一規定，連續公告三個月。"
"1120901","1120831","70003","6130","上亞科技","公告本公司名稱由「星寶國際股份有限公司」
更名為「上亞科技股份有限公司」
公告期間：112年07月05日至112年10月04日","第53款","1120705","1.事實發生日：民國112年07月05日
2.公司名稱：上亞科技股份有限公司(原名：星寶國際股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月05日
(2)公司名稱變更核准文號：府產業商字第11250610820
(3)更名案股東會決議通過日期：民國112年06月26日
(4)變更前公司名稱：星寶國際股份有限公司
(5)變更後公司名稱：上亞科技股份有限公司
(6)變更前公司簡稱：星寶國際
(7)變更後公司簡稱：上亞科技
6.因應措施：依財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務規則第9條之1 規定，連續公告三個月。
7.其他應敘明事項：無"
"1120901","1120831","70003","6236","中湛","公告本公司名稱由『康呈科技股份有限公司』更名為
『中湛股份有限公司』，公告期間：112年7月10日至
112年10月9日","第53款","1120707","1.事實發生日：民國112年07月07日
2.公司名稱：中湛股份有限公司(原名：康呈科技股份有限公司)
3.與公司關係(請輸入本公司或子公司)：本公司
4.相互持股比例：不適用
5.發生緣由：
(1)公司名稱變更核准日期/事實發生日：民國112年07月07日
(2)公司名稱變更核准文號：府授經登字第11207410440號
(3)更名案股東會決議通過日期：民國112年06月27日
(4)變更前公司名稱：康呈科技股份有限公司
(5)變更後公司名稱：中湛股份有限公司
(6)變更前公司簡稱：康呈
(7)變更後公司簡稱：中湛
6.因應措施：無
7.其他應敘明事項：(1)本公司股票代號未變動，仍為「6236」。
(2)本公司英文名稱未變動，仍為「Neith Corporation」。
(3)有關本公司更名全面換發有價證券等相關事宜，俟日期確定後，另行公告。
(4)依據財團法人中華民國證券櫃檯買賣中心證券商營業處所買賣有價證券業務
   規則第九條之一規定，連續公告三個月。
(5)本公司於民國112年07月10日收到台中市政府變更登記核准函。"
