出表日期,資料年月,公司代號,公司名稱,職稱,姓名,選任時持股,目前持股,設質股數,設質股數佔持股比例,內部人關係人目前持股合計,內部人關係人設質股數,內部人關係人設質比例
"1120818","11207","1101","台泥","董事長本人","嘉利實業股份有限公司","3032923","3335997","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事長之法人代表人","張安平","0","2408351","0","0.00%","4599808","0","0.00%"
"1120818","11207","1101","台泥","董事本人","財團法人辜公亮文教基金會","3168803","3485455","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","陳聖德","0","230984","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","泰和興業股份有限公司","6043126","6647005","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","辜公怡","0","700451","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","恆強投資股份有限公司","102240983","112457746","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","溫堅","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","恆強投資股份有限公司","0","112457746","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","劉純穎","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","富品投資股份有限公司","77482477","85225165","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","王伯元","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","國際中橡投資控股股份有限公司","103548831","113896285","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","駱錦明","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","嘉新水泥股份有限公司","217859506","239629776","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","張剛綸","0","0","0","0.00%","264484","0","0.00%"
"1120818","11207","1101","台泥","董事本人","富品投資股份有限公司","0","85225165","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","謝其嘉","0","543801","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事本人","嘉新水泥股份有限公司","0","239629776","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","董事之法人代表人","陳啟德","0","74691","0","0.00%","6212","0","0.00%"
"1120818","11207","1101","台泥","獨立董事本人","焦佑鈞","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","獨立董事本人","王金山","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","獨立董事本人","周玲臺","1","1","0","0.00%","2","0","0.00%"
"1120818","11207","1101","台泥","獨立董事本人","林美花","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","獨立董事本人","林秀玲","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","總經理本人","程耀輝","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","總經理本人","張安平","0","2408351","0","0.00%","4599808","0","0.00%"
"1120818","11207","1101","台泥","總經理本人","張毓揚","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","黃健強","0","912429","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","呂克甫","0","217887","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","葛保羅","0","430564","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","王建全","0","235375","0","0.00%","1889","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","劉鳳萍","0","184556","0","0.00%","251","0","0.00%"
"1120818","11207","1101","台泥","副總經理本人","葉毓君","0","214883","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","經理本人","陳技竫","0","22302","0","0.00%","57","0","0.00%"
"1120818","11207","1101","台泥","經理本人","梁詩聖","0","41313","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","經理本人","吳雲德","0","50843","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","經理本人","陳進益","0","118671","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","經理本人","曹家華","0","6000","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","辜公怡","0","700451","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","陳怡中","0","49845","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","余金龍","0","266691","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","藍岑蔚","0","187570","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","賴家柔","0","95751","0","0.00%","246","0","0.00%"
"1120818","11207","1101","台泥","協理本人","蔡國嶼","0","670986","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","邱鈺文","0","25418","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","李國源","0","85843","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","蔣政道","0","121920","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","魏家珮","0","253276","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","丘惠生","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","陳銀華","0","87932","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","協理本人","張年旺","0","56095","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","副理本人","吳子揚","0","3300","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","財務部門主管本人","于明仁","0","10000","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","會計部門主管本人","葉國宏","0","169786","0","0.00%","0","0","0.00%"
"1120818","11207","1101","台泥","其他","賴家柔","0","95751","0","0.00%","246","0","0.00%"
"1120818","11207","1102","亞泥","董事長本人","徐旭東","23278334","23278334","0","0.00%","6352467","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","遠東新世紀股份有限公司","750511324","750511324","19900000","2.65%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事之法人代表人","席家宜","0","453745","0","0.00%","6159993","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","遠東新世紀股份有限公司","750511324","750511324","19900000","2.65%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事之法人代表人","陳長文","0","338429","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","裕鼎實業股份有限公司","1895136","1895136","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事之法人代表人","李坤炎","0","3333557","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","大聚化學纖維股份有限公司","1560068","1560068","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事之法人代表人","陳瑞隆","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","醫療財團法人徐元智先生醫藥基金會","181566797","181566797","24500000","13.49%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事之法人代表人","李冠軍","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1102","亞泥","董事本人","財團法人徐有庠先生紀念基金會","6218800","6218800","0","0.00%","0","0","0.00%"
