出表日期,資料年月,公司代號,公司名稱,職稱,姓名,選任時持股,目前持股,設質股數,設質股數佔持股比例,內部人關係人目前持股合計,內部人關係人設質股數,內部人關係人設質比例
"1120818","11207","1240","茂生農經","董事長本人","吳清德","609956","640453","0","0.00%","630436","0","0.00%"
"1120818","11207","1240","茂生農經","董事本人","茂元國際股份有限公司","708817","744257","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","董事之法人代表人","羅任芬","0","8400","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","董事本人","瓏德國際事業股份有限公司","2160706","2268741","1070000","47.16%","0","0","0.00%"
"1120818","11207","1240","茂生農經","董事之法人代表人","黃大中","0","511835","0","0.00%","351347","0","0.00%"
"1120818","11207","1240","茂生農經","董事本人","徐維宏","574032","602733","0","0.00%","109779","0","0.00%"
"1120818","11207","1240","茂生農經","獨立董事本人","韓千山","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","獨立董事本人","魏巍","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","獨立董事本人","李建裕","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","總經理本人","吳清德","0","640453","0","0.00%","630436","0","0.00%"
"1120818","11207","1240","茂生農經","副總經理本人","黃大中","0","511835","0","0.00%","351347","0","0.00%"
"1120818","11207","1240","茂生農經","副總經理本人","鍾亮宏","0","97010","0","0.00%","55583","0","0.00%"
"1120818","11207","1240","茂生農經","經理本人","李安宗","0","26746","0","0.00%","0","0","0.00%"
"1120818","11207","1240","茂生農經","經理本人","林信鴻","0","34120","0","0.00%","187636","0","0.00%"
"1120818","11207","1240","茂生農經","協理本人","葉明球","0","458913","0","0.00%","7018","0","0.00%"
"1120818","11207","1240","茂生農經","財務部門主管本人","葉明球","0","458913","0","0.00%","7018","0","0.00%"
"1120818","11207","1240","茂生農經","會計部門主管本人","邱紹齊","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事長本人","黃茂雄","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","光元實業股份有限公司","8925807","8925807","4400000","49.29%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","高順興","0","88142","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","光元實業股份有限公司","8925807","8925807","4400000","49.29%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","黃尚莉","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","福光昭夫","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","平山美夫","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","日商魔術食品服務股份有限公司","8098464","8098464","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","瀧深淳","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","董事本人","光元實業股份有限公司","8925807","8925807","4400000","49.29%","0","0","0.00%"
"1120818","11207","1259","安心","董事之法人代表人","林建元","0","5000","0","0.00%","10000","0","0.00%"
"1120818","11207","1259","安心","董事本人","張炯昌","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","獨立董事本人","龔仁文","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","獨立董事本人","賴瑟珍","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","獨立董事本人","劉維琪","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","總經理本人","高順興","0","88142","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","副總經理本人","福光昭夫","0","0","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","副總經理本人","高順興","0","88142","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","副總經理本人","何頎胤","0","8536","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","經理本人","陳弘道","0","5000","0","0.00%","0","0","0.00%"
"1120818","11207","1259","安心","協理本人","施啟寅","0","0","0","0.00%","8219","0","0.00%"
"1120818","11207","1259","安心","大股東本人","光元實業股份有限公司","0","8925807","4400000","49.29%","0","0","0.00%"
