出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","1101","台泥","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120324","173723",""
"1120831","1102","亞泥","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120512","93603",""
"1120831","1103","嘉泥","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120418","165748",""
"1120831","1104","環泥","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120503","161425",""
"1120831","1108","幸福","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120317","154038",""
"1120831","1109","信大","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120327","142549",""
"1120831","1110","東泥","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120515","204042",""
"1120831","1201","味全","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120427","94645",""
"1120831","1203","味王","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120421","144913",""
"1120831","1210","大成","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120322","174338",""
"1120831","1213","大飲","臨時會","1120928","1120830","1120928","","","","","","","0","0","","0","1120814","91227",""
"1120831","1213","大飲","常會","1120615","1120417","1120615","","","","","0","0.00","0","0","","0","1120322","152240",""
"1120831","1215","卜蜂","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120321","153704",""
"1120831","1216","統一","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120406","151702",""
"1120831","1217","愛之味","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120320","114303",""
"1120831","1218","泰山","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120508","72308",""
"1120831","1218","泰山","臨時會","1120531","1120502","1120531","","","","","","","0","0","","0","1120414","172535",""
"1120831","1219","福壽","臨時會","1120927","1120829","1120927","","","","","","","0","0","","0","1120811","95417",""
"1120831","1219","福壽","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120421","152723",""
"1120831","1220","台榮","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120413","173838",""
"1120831","1225","福懋油","常會","1120629","1120501","1120629","","","","","0","0.00","0","0","","0","1120411","175603",""
"1120831","1227","佳格","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120322","140742",""
"1120831","1229","聯華","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120314","171625",""
"1120831","1231","聯華食","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120321","95720",""
"1120831","1232","大統益","常會","1120525","1120327","1120525","","","","","","","0","0","","0","1120309","163236",""
"1120831","1233","天仁","常會","1120613","1120415","1120613","","","","","0","0.00","0","0","","0","1120322","115822",""
"1120831","1234","黑松","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120322","115826",""
"1120831","1235","興泰","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120329","111340",""
"1120831","1236","宏亞","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120222","160514",""
"1120831","1256","鮮活果汁-KY","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120325","113224",""
"1120831","1301","台塑","常會","1120530","1120401","1120530","","","","","0","0.00","0","0","","0","1120316","115027",""
"1120831","1303","南亞","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120315","164756",""
"1120831","1304","台聚","常會","1120531","1120402","1120531","","","","","0","0.00","0","0","","0","1120406","115346",""
"1120831","1305","華夏","常會","1120526","1120328","1120526","","","","","0","0.00","0","0","","0","1120330","142716",""
