出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","1240","茂生農經","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120407","101629",""
"1120831","1259","安心","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120428","135610",""
"1120831","1264","德麥","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120329","122909",""
"1120831","1264","德麥","臨時會","1120303","1120202","1120303","","","","","","","0","0","","0","1120103","114439",""
"1120831","1268","漢來美食","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120414","202233",""
"1120831","1336","台翰","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120503","175411",""
"1120831","1565","精華","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120413","180226",""
"1120831","1569","濱川","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120407","221702",""
"1120831","1570","力肯","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120418","180955",""
"1120831","1580","新麥","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120424","165727",""
"1120831","1584","精剛","常會","1120525","1120327","1120525","","","","","","","0","0","","0","1120413","163055",""
"1120831","1586","和勤","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120329","122226",""
"1120831","1591","駿吉-KY","臨時會","1120918","1120820","1120918","","","","","","","0","0","","0","1120823","151706",""
"1120831","1591","駿吉-KY","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120324","144631",""
"1120831","1593","祺驊","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120317","145218",""
"1120831","1595","川寶","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120324","172756",""
"1120831","1599","宏佳騰","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120329","141456",""
"1120831","1742","台蠟","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120321","163902",""
"1120831","1777","生泰","常會","1120620","1120422","1120620","","","","","0","0.00","0","0","","0","1120321","94837",""
"1120831","1781","合世","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120322","175124",""
"1120831","1784","訊聯","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120420","135553",""
"1120831","1785","光洋科","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120414","202418",""
"1120831","1788","杏昌","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120504","163317",""
"1120831","1796","金穎生技","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120320","90853",""
"1120831","1799","易威","常會","1120627","1120429","1120627","","","","","0","0.00","0","0","","0","1120512","210856",""
"1120831","1813","寶利徠","常會","1120529","1120331","1120529","","","","","0","0.00","0","0","","0","1120301","195150",""
"1120831","1815","富喬","常會","1120607","1120409","1120607","","","","","","","0","0","","0","1120418","184526",""
"1120831","2035","唐榮公司","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120503","140209",""
"1120831","2061","風青","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120329","135817",""
"1120831","2063","世鎧","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120308","180542",""
"1120831","2064","晉椿","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120324","172249",""
"1120831","2065","世豐","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120418","151055",""
"1120831","2066","世德","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120410","141853",""
"1120831","2067","嘉鋼","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120511","181016",""
"1120831","2070","精湛","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120323","211724",""
"1120831","2073","雄順","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120329","170401",""
"1120831","2221","大甲","常會","1120616","1120418","1120616","","","","","0","0.00","0","0","","0","1120325","174400",""
"1120831","2230","泰茂","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120413","153914",""
"1120831","2235","謚源","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120327","174022",""
"1120831","2596","綠意","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120301","134738",""
"1120831","2640","大車隊","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120428","165156",""
"1120831","2641","正德","常會","1120601","1120403","1120601","","","","","","","0","0","","0","1120406","184719",""
"1120831","2643","捷迅","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120505","95043",""
"1120831","2718","晶悅","常會","1120606","1120408","1120606","","","","","","","0","0","","0","1120426","175749",""
"1120831","2719","燦星旅","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120322","164434",""
"1120831","2724","富驛-KY","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120413","93620",""
"1120831","2726","雅茗-KY","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120414","103203",""
"1120831","2729","瓦城","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120511","194142",""
"1120831","2732","六角","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120315","173312",""
"1120831","2734","易飛網","常會","1120630","1120502","1120630","","","","","","","0","0","","0","1120511","212327",""
"1120831","2736","富野","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120324","173353",""
"1120831","2740","天蔥","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120314","161127",""
"1120831","2743","山富","常會","1120607","1120409","1120607","","","","","","","0","0","","0","1120320","93429",""
"1120831","2745","五福","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120330","134759",""
"1120831","2752","豆府","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120315","104907",""
"1120831","2754","亞洲藏壽司","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120325","134501",""
"1120831","2755","揚秦","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120303","85722",""
"1120831","2756","聯發國際","常會","1120530","1120401","1120530","","","","","0","0.00","0","0","","0","1120417","83832",""
"1120831","2916","滿心","常會","1120605","1120407","1120605","","","","","","","0","0","","0","1120316","110233",""
"1120831","2924","宏太-KY","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120324","174819",""
"1120831","2926","誠品生活","常會","1120530","1120401","1120530","","","","","","","0","0","","0","1120406","180706",""
"1120831","2937","集雅社","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120509","105105",""
"1120831","2947","振宇五金","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120308","152548",""
"1120831","3064","泰偉","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120505","90201",""
"1120831","3066","李洲","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120401","183424",""
"1120831","3067","全域","臨時會","1120831","1120802","1120831","","","","","","","0","0","","0","1120717","91202",""
"1120831","3067","全域","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120511","162613",""
"1120831","3071","協禧","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120317","150051",""
"1120831","3073","天方能源","常會","1120612","1120414","1120612","","","","","","","0","0","","0","1120321","110237",""
"1120831","3078","僑威","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120411","171259",""
"1120831","3081","聯亞","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120217","122154",""
"1120831","3083","網龍","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120316","113140",""
"1120831","3085","新零售","臨時會","1121005","1120906","1121005","","","","","","","0","0","","0","1120812","100345",""
"1120831","3085","新零售","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120330","134045",""
"1120831","3086","華義","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120330","90841",""
"1120831","3088","艾訊","常會","1120530","1120401","1120530","","","","","0","0.00","0","0","","0","1120314","93718",""
"1120831","3089","億杰","常會","1120609","1120411","1120609","","","","","","","0","0","","0","1120330","181245",""
"1120831","3093","港建*","常會","1120613","1120415","1120613","","","","","","","0","0","","0","1120323","114827",""
"1120831","3095","及成","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120512","161929",""
"1120831","3105","穩懋","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120310","135248",""
"1120831","3114","好德","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120512","214734",""
"1120831","3115","富榮綱","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120323","195914",""
"1120831","3118","進階","常會","1120529","1120331","1120529","","","","","","","0","0","","0","1120413","202556",""
"1120831","3122","笙泉","常會","1120524","1120326","1120524","","","","","","","0","0","","0","1120330","144034",""
"1120831","3128","昇銳","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120510","111346",""
"1120831","3131","弘塑","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120426","174906",""
